5,Яйца,шт,300.00,2025-04-30,14
8,Говядина,кг,100.00,2025-12-31,2
10,Рыба,кг,100.00,2025-12-31,12
15,Оливки,кг,30.00,2025-12-31,13
17,Специи,кг,10.00,2025-12-31,17
19,Горчица,кг,15.00,2025-12-31,13
22,Скумбрия,кг,15.00,2025-04-30,12
24,Боярешник,кг,5.00,2028-12-31,4
25,Топпинг клубничный,кг,5.00,2028-12-31,37
26,Аджика,кг,5.00,2028-12-31,13
29,Мед,кг,10.00,2028-12-31,5
30,Банан,кг,10.00,2025-04-30,13
31,Йогурт,кг,3.00,2025-04-30,14
32,Сметана,кг,3.00,2025-04-30,14
33,Кефир,л,5.00,2025-04-30,36
37,Яблоко,кг,10.00,2025-04-30,35
38,Стручковая фасоль,кг,5.00,2025-12-31,33
39,Кукуруза консервированая,шт,10.00,2025-12-31,13
40,Рис,кг,20.00,2025-12-31,11
41,Гречка,кг,20.00,2025-12-31,11
6,Масло,кг,50.00,2025-12-31,14
45,Укроп,кг,1.00,2025-03-28,33
46,Панировочные сухари,кг,2.00,2025-12-31,4
47,Пиво,л,30.00,2025-12-31,38
35,Ветчина,кг,5.00,2025-04-30,3
7,Курица,кг,150.00,2025-12-31,6
12,Грибы,кг,50.00,2025-12-31,1
9,Свинина,кг,100.00,2025-12-31,7
1,Мука,кг,100.00,2025-12-31,8
2,Сахар,кг,50.00,2025-12-31,9
3,Соль,кг,20.00,2025-12-31,10
28,Мороженное пломбир,кг,5.00,2025-12-31,15
21,Бульен,л,30.00,2025-12-31,16
13,Морковь,кг,50.00,2025-12-31,32
11,Картофель,кг,200.00,2025-12-31,34
18,Сыр,кг,50.00,2025-12-31,39
14,Лук,кг,50.00,2025-03-31,44
36,Клюква,кг,5.00,2025-04-30,42
16,Лимон,кг,20.00,2025-06-30,43
34,Творог,кг,5.00,2025-04-30,40
4,Молоко,л,50.00,2025-04-30,41
23,Шиповник,кг,5.00,2028-12-31,45
27,Вишня,кг,5.00,2025-12-31,46
